DPMP,irca.2016,fake.irca,pob.2016,rural.2016,ing.2016
5001,2.427559,5,2486723,0.011679226,4258810.791
5002,0.365094,3,19195,0.649700443,20655.803
5004,10.629473,8,2075,0.644337349,5530.205
5021,2.722692,4,3435,0.473653566,8410.944
5030,0.106666,4,29770,0.429862277,22872.286
5031,0.058412,7,22253,0.444614209,30442.62457
5034,1.697714,6,46221,0.502044525,38805.87766
5036,0.8,6,9082,0.407179035,6708.111008
5038,0.082812,9,11240,0.840035587,14326.15688
5040,1.1776,2,17304,0.601074896,21522.537
5042,0,5,24724,0.360985277,35229.624
5044,0,9,7580,0.832717678,11109.37846
5045,0.23483,5,183716,0.133586623,160045.566
5051,0,5,41209,0.578393069,35684.492
5055,90.469659,8,8578,0.707157846,9492.168
5059,0,6,4110,0.621654501,6627.924938
5079,1.521764,4,50836,0.539145487,43243.655
5086,0.938529,10,6823,0.713762275,8185.729
5088,0.586363,2,464614,0.013813617,396797.621
5091,14.467142,9,9188,0.580539835,10449.898
5093,3.46,6,17606,0.666647734,17322.331
5101,5.933484,8,26957,0.399488074,24735.66951
5107,3.06625,9,8692,0.704555913,18794.66
5113,5.661333,4,6566,0.76119403,10562.056
5120,3.725555,7,38850,0.76965251,29063.8509
5125,0.736,1,8275,0.801450151,11484.364
5129,1.652673,3,78756,0.210218904,43715.366
5134,0.925909,3,9035,0.679911455,12342.62579
5138,0,2,16751,0.596322608,24978.557
5142,0.59,4,4569,0.317793828,6998.146
5145,0.273448,7,5340,0.437078652,6260.340279
5147,0.43,9,57220,0.227368053,41155.164
5148,0.155686,3,47340,0.347549641,39964.34725
5150,0.66625,1,3583,0.184761373,7759.893
5154,1.540268,1,114902,0.175279804,94939.136
5172,0,7,78148,0.124929621,61803.96
5190,82.286931,4,8998,0.160702378,10357.948
5197,6.743076,7,14964,0.734963913,18656.929
5206,0,2,3375,0.579259259,6789.991709
5209,1.022222,9,20565,0.580792609,19264.337
5212,0,1,71035,0.126008306,58549.892
5234,12.977758,9,23280,0.61580756,24124
5237,1.396206,9,22726,0.341151104,18412.02953
5240,0,6,12510,0.821582734,15810.655
5250,4.835432,4,49913,0.478893274,62416.28805
5264,4.73,2,10102,0.477727183,13361.97303
5266,0.052727,7,227644,0.033618281,386205.5176
5282,0.645,9,21426,0.599645291,14043.238
5284,0,2,16311,0.579424928,20492.031
5306,1.153913,6,4009,0.674232976,8818.467
5308,0,4,55490,0.400630744,58023.196
5310,1.488461,10,12964,0.536485653,13599.99
5313,0.235806,8,9866,0.630853436,11360.069
5315,0,1,6306,0.664129401,9715.429
5318,0,9,48659,0.629421073,43098.567
5321,0.702571,7,5231,0.207608488,12487.725
5347,1.976969,1,5837,0.477985266,8399.509
5353,3.0988,5,4874,0.335658597,7962.82
5360,2.715982,1,270903,0.084469349,361647.733
5361,13.175641,5,20628,0.71785922,26575.614
5364,0,7,13673,0.472537117,14750.997
5368,0,4,12016,0.291195073,13322.67128
5376,0.348172,8,53361,0.129570285,46138.82
5380,2.875952,10,63335,0.430630773,70343.913
5390,6.3016,6,6507,0.117412018,18894.031
5400,1.608484,9,19229,0.436112122,17343.529
5411,0,6,9546,0.816153363,13859.085
5425,4.765238,5,6775,0.580369004,17384.093
