"","cod","year","munic","dep","pop","region","irca","Municipio","income","ingpercap"
"1","05001",2007,"Medellín","Antioquia",2265244,"Eje cafetero",2.264638,"MEDELLÍN",2098567.78,0.926420191378942
"2","05001",2008,"Medellín","Antioquia",2291378,"Eje cafetero",1.79392,"MEDELLÍN",2531655.115,1.10486140436017
"3","05001",2009,"Medellín","Antioquia",2317336,"Eje cafetero",1.343664,"MEDELLÍN",2633710.498,1.13652508656492
"4","05001",2010,"Medellín","Antioquia",2343049,"Eje cafetero",1.444044,"MEDELLÍN",2972608.088,1.26869224160485
"5","05001",2011,"Medellín","Antioquia",2368282,"Eje cafetero",1.946346,"MEDELLÍN",3048820.389,1.28735530186017
"6","05001",2012,"Medellín","Antioquia",2393011,"Eje cafetero",0.388947,"MEDELLÍN",3254946.076,1.36018851396839
"7","05001",2013,"Medellín","Antioquia",2417325,"Eje cafetero",0,"MEDELLÍN",3765280.165,1.55762264693411
"8","05001",2014,"Medellín","Antioquia",2441123,"Eje cafetero",1.80628,"MEDELLÍN",5347402.036,2.19055001980646
"9","05001",2015,"Medellín","Antioquia",2464322,"Eje cafetero",1.424792,"MEDELLÍN",4174454.5,1.6939565933348
"10","05001",2016,"Medellín","Antioquia",2486723,"Eje cafetero",2.427559,"MEDELLÍN",4258810.791,1.71261969708729
"11","05002",2007,"Abejorral","Antioquia",20022,"Eje cafetero",6.412424,"ABEJORRAL",7765.425,0.387844620916991
"12","05002",2008,"Abejorral","Antioquia",19930,"Eje cafetero",0,"ABEJORRAL",7936.437,0.398215604616157
"13","05002",2009,"Abejorral","Antioquia",19853,"Eje cafetero",1.604117,"ABEJORRAL",8193.647,0.412715811212411
"14","05002",2010,"Abejorral","Antioquia",19750,"Eje cafetero",25.195333,"ABEJORRAL",9205.122,0.466082126582278
"15","05002",2011,"Abejorral","Antioquia",19672,"Eje cafetero",16.221584,"ABEJORRAL",12378.802,0.629259963399756
"16","05002",2012,"Abejorral","Antioquia",19570,"Eje cafetero",1.15,"ABEJORRAL",12738.984,0.650944506898314
"17","05002",2013,"Abejorral","Antioquia",19478,"Eje cafetero",1.981034,"ABEJORRAL",18232.104,0.936035732621419
"18","05002",2014,"Abejorral","Antioquia",19382,"Eje cafetero",0.997608,"ABEJORRAL",17245.575,0.889772727272727
"19","05002",2015,"Abejorral","Antioquia",19290,"Eje cafetero",0.79159,"ABEJORRAL",19391.412109375,1.00525723739632
"20","05002",2016,"Abejorral","Antioquia",19195,"Eje cafetero",0.365094,"ABEJORRAL",20655.803,1.07610330815316
